stream_index,expected,clean_est,trojan_est,abs_err_clean,abs_err_trojan,affected_bits,affected_percent
113,0.980509,0.984375,0.96875,0.003866000000000036,0.011758999999999964,7,0.0546875
114,0.687575,0.6875,0.671875,7.500000000004725e-05,0.015700000000000047,7,0.0546875
115,0.371372,0.390625,0.5,0.01925300000000002,0.12862800000000002,7,0.0546875
116,0.427195,0.421875,0.46875,0.005319999999999991,0.04155500000000001,7,0.0546875
117,0.511464,0.515625,0.59375,0.00416099999999997,0.08228599999999997,7,0.0546875
118,1.0,1.0,1.0,0.0,0.0,7,0.0546875
119,0.7652559999999999,0.75,0.765625,0.015255999999999936,0.0003690000000000637,7,0.0546875
120,1.0,1.0,1.0,0.0,0.0,7,0.0546875
121,1.0,1.0,1.0,0.0,0.0,7,0.0546875
122,0.991526,0.984375,1.0,0.0071510000000000185,0.008473999999999982,7,0.0546875
123,0.676096,0.6875,0.796875,0.01140399999999997,0.12077899999999997,7,0.0546875
124,1.0,1.0,1.0,0.0,0.0,7,0.0546875
125,0.734944,0.75,0.859375,0.015055999999999958,0.12443099999999996,7,0.0546875
126,1.0,1.0,1.0,0.0,0.0,7,0.0546875
127,0.967754,0.96875,0.921875,0.0009959999999999969,0.045879,7,0.0546875
128,0.49931499999999995,0.5,0.515625,0.0006850000000000467,0.016310000000000047,7,0.0546875
129,1.0,1.0,1.0,0.0,0.0,7,0.0546875
130,0.8939360000000001,0.890625,1.0,0.003311000000000064,0.10606399999999994,7,0.0546875
131,1.0,1.0,1.0,0.0,0.0,7,0.0546875
132,0.537864,0.53125,0.546875,0.006614000000000009,0.009010999999999991,7,0.0546875
133,0.917196,0.921875,1.0,0.004678999999999989,0.08280399999999999,7,0.0546875
134,0.877664,0.875,0.828125,0.0026639999999999997,0.049539,7,0.0546875
135,1.0,1.0,1.0,0.0,0.0,7,0.0546875
136,1.0,1.0,1.0,0.0,0.0,7,0.0546875
137,1.0,1.0,1.0,0.0,0.0,7,0.0546875
138,0.556352,0.546875,0.65625,0.009476999999999958,0.09989800000000004,7,0.0546875
139,1.0,1.0,1.0,0.0,0.0,7,0.0546875
140,0.938263,0.9375,0.890625,0.0007629999999999582,0.04763799999999996,7,0.0546875
141,0.336149,0.328125,0.4375,0.008023999999999976,0.10135100000000002,7,0.0546875
142,1.0,1.0,1.0,0.0,0.0,7,0.0546875
143,0.52058,0.515625,0.625,0.004955000000000043,0.10441999999999996,7,0.0546875
144,1.0,1.0,1.0,0.0,0.0,7,0.0546875
145,1.0,1.0,1.0,0.0,0.0,7,0.0546875
146,0.9747809999999999,0.96875,1.0,0.0060309999999998976,0.025219000000000102,7,0.0546875
147,1.0,1.0,0.984375,0.0,0.015625,7,0.0546875
148,0.929305,0.921875,0.96875,0.007430000000000048,0.03944499999999995,7,0.0546875
149,0.828171,0.828125,0.9375,4.599999999999049e-05,0.10932900000000001,7,0.0546875
150,1.0,1.0,1.0,0.0,0.0,7,0.0546875
151,1.0,1.0,1.0,0.0,0.0,7,0.0546875
152,0.829068,0.84375,0.828125,0.014681999999999973,0.0009430000000000271,7,0.0546875
153,0.5350779999999999,0.53125,0.640625,0.0038279999999999426,0.10554700000000006,7,0.0546875
154,0.46983600000000003,0.484375,0.59375,0.014538999999999969,0.12391399999999997,7,0.0546875
155,0.690148,0.6875,0.796875,0.0026479999999999837,0.10672700000000002,7,0.0546875
156,0.9679709999999999,0.953125,0.96875,0.014845999999999915,0.0007790000000000852,7,0.0546875
157,1.0,1.0,1.0,0.0,0.0,7,0.0546875
158,1.0,1.0,1.0,0.0,0.0,7,0.0546875
159,1.0,1.0,1.0,0.0,0.0,7,0.0546875
160,1.0,1.0,1.0,0.0,0.0,7,0.0546875
161,0.654418,0.65625,0.703125,0.0018319999999999448,0.048706999999999945,7,0.0546875
162,1.0,1.0,1.0,0.0,0.0,7,0.0546875
163,0.584889,0.578125,0.6875,0.006763999999999992,0.10261100000000001,7,0.0546875
164,0.522155,0.515625,0.625,0.006530000000000036,0.10284499999999996,7,0.0546875
165,1.0,1.0,1.0,0.0,0.0,7,0.0546875
166,1.0,1.0,1.0,0.0,0.0,7,0.0546875
167,0.656539,0.640625,0.6875,0.015913999999999984,0.030961000000000016,7,0.0546875
168,0.477429,0.484375,0.59375,0.006946000000000008,0.11632100000000001,7,0.0546875
169,0.93725,0.9375,0.828125,0.00024999999999997247,0.10912500000000003,7,0.0546875
170,1.0,1.0,1.0,0.0,0.0,7,0.0546875
171,1.0,1.0,1.0,0.0,0.0,7,0.0546875
172,1.0,1.0,1.0,0.0,0.0,7,0.0546875
173,1.0,1.0,1.0,0.0,0.0,7,0.0546875
174,1.0,1.0,1.0,0.0,0.0,7,0.0546875
175,0.8427830000000001,0.828125,0.71875,0.01465800000000006,0.12403300000000006,7,0.0546875
176,0.621679,0.625,0.703125,0.0033210000000000184,0.08144600000000002,7,0.0546875
177,1.0,1.0,1.0,0.0,0.0,7,0.0546875
178,0.35654899999999995,0.34375,0.453125,0.01279899999999995,0.09657600000000005,7,0.0546875
179,1.0,1.0,1.0,0.0,0.0,7,0.0546875
180,1.0,1.0,1.0,0.0,0.0,7,0.0546875
181,1.0,1.0,1.0,0.0,0.0,7,0.0546875
182,0.867413,0.890625,0.90625,0.02321200000000001,0.03883700000000001,7,0.0546875
183,1.0,1.0,1.0,0.0,0.0,7,0.0546875
184,1.0,1.0,1.0,0.0,0.0,7,0.0546875
