Run ID,Timestamp,a,b,Number of Bits,Expected Result,Stochastic Result,Percent Error (%),Absolute Error,Trojan Activation Count
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,16384,0.40268478,0.40093994,0.4333017006503263,0.0017448400000000253,480
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,32768,0.40268478,0.39498901,1.9111151903978207,0.007695770000000046,988
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,65536,0.40268478,0.39352417,2.2748835950541793,0.009160610000000013,1984
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,131072,0.40268478,0.39907074,0.8974861180499647,0.0036140400000000406,4190
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,2,0.65095414,0.5,23.1896735459736,0.15095413999999996,0
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,4,0.65095414,1.0,53.62065290805279,0.34904586000000004,0
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,8,0.65095414,0.75,15.215489681039596,0.09904586000000004,0
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,16,0.65095414,0.625,3.987091932467003,0.02595413999999996,1
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,32,0.65095414,0.65625,0.8135534709096467,0.005295860000000041,1
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,64,0.65095414,0.625,3.987091932467003,0.02595413999999996,3
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,128,0.65095414,0.65625,0.8135534709096467,0.005295860000000041,5
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,256,0.65095414,0.66015625,1.4136341463317281,0.009202110000000041,6
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,512,0.65095414,0.6328125,2.7869305816228405,0.01814163999999996,21
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,1024,0.65095414,0.63964844,1.7367890155825687,0.011305699999999974,33
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,2048,0.65095414,0.64208984,1.3617395535728427,0.008864299999999936,70
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,4096,0.65095414,0.64013672,1.6617791231806234,0.010817419999999967,148
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,8192,0.65095414,0.63720703,2.111840013798814,0.013747109999999951,236
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,16384,0.65095414,0.62780762,3.5557835149492942,0.023146519999999948,527
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,32768,0.65095414,0.63357544,2.669727240693172,0.01737869999999997,1052
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,65536,0.65095414,0.63581848,2.3251499713942976,0.015135659999999995,2018
859b98c9-6b7d-46eb-aed8-5c2e12410259,2025-10-06T19:09:11.334896,0.751235,0.866512,131072,0.65095414,0.63871765,1.879777583102849,0.012236489999999933,4116
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,2,0.01319767,0.0,100.0,0.01319767,0
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,4,0.01319767,0.0,100.0,0.01319767,0
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,8,0.01319767,0.0,100.0,0.01319767,1
dfe12fbb-516c-4261-bd63-eee9cf0d8472,2025-10-06T19:09:12.748412,0.164767,0.080099,16,0.01319767,0.0,100.0,0.01319767,0
